# Stat	Lat	Lon	Start	End	Start2	End2
alt 	82.5	62.3	1991.9	2016.7
brw 	71.3	156.6	1992.3	2016.7
sum 	72.6	38.4	2004.5	2016.5
mhd 	53.3	9.9	1998.8	2016.7
lef 	45.6	90.27	1996.8	2016.8
thd 	41.0	124.1	2002.2	2016.8
nwr 	40.1	105.5	1992.0	2016.8
mlo 	19.5	155.6	1992.0	2016.7
kum 	19.5	154.8	1995.9	2016.8
smo 	-14.247	170.564	1991.9	2016.8
cgo 	-40.682	215.312	1991.9	2016.7
psa 	-64.6	64.0	1998.0	2013.8	2016.2	2016.5
spo 	-90.0	0.0	1992.5	2015.6
